recclass,price
Acapulcoite,102.1044427
Achondrite,31.19047619
Angrite,353.9668701
Aubrite,54.54545455
Brachinite,80.64516129
C,21.25
CBa,126.2203626
CBb,126.2203626
CH,58.82352941
Chondrite,21.25
CI,602.5039124
CK,79.9031477
CM,68.59205776
CO,100.1444391
CR,22.5
CV,21.25
Diogenite,20.64935065
E,26.07843137
EH,26.07843137
EL,2.030831099
Enst,65
Eucrite,26.47058824
Fusion,9.986859396
H,3
Howardite,20
Iron,20.49019608
K,1.086956522
L,3.855721393
LL,14.89244346
Lodranite,74.17582418
Lunar,1075.581395
Martian,496.4028777
Mesosiderite,41.48351648
OC,1.255134642
Pallasite,12.39130435
R,25.6097561
Relict,186.1198738
Stone,0.453598137
Ureilite,119.995
Winonaite,0.001515152
